Date,Time,Type,CF IN Pressure (psi),CF OUT Pressure (psi),RO IN Feedwater Pressure (psi),CF IN Feedwater pH,RO OUT Concentrate Pressure (psi),CF Effluent EC (uS/cm),CF Effluent Temperature (C),RO Overall Permeate EC (uS/cm),RO Overall Permeate pH,RO Overall Concentrate Flowrate (gpm),RO Overall Permeate Flowrate (gpm),RO Overall Concentrate EC (uS/cm),CF Differential Pressure (psi),Rejection (%),Recovery (%),CF Effluent EC (ppm),RO Overall Permeate EC (ppm),RO Overall Concentrate EC (ppm),True Power (W),Reactive Power (Var),Apparent Power (VA),Net Energy (kWh),Power Factor,RO Overall Feed Flowrate/CF Effluent/Pilot Make-up Overall Flow (gpm),Recirculation Flow Rate (gpm),RO Pump VFD Setpoint (%),RO Pump VFD (%),Permeate Flow Rate Setpoint (gpm),Concentrate Flow Setpoint (ON/OFF),Recirculation Flow Setpoint (ON/OFF),Concentrate Flow Rate Setpoint (gpm),Recirculation Flow Rate Setpoint (gpm),Concentrate Vave Position Setpoint (%),Recirculate Valve Position Setpoint (%)
6/25/2025,12:17:30,Data,37.044,36.646,86.258,7.07,68.807,2253.25,28.81,103.417,0.05,0.914,1.728,5921.86,0.432,95.4,65.4,1351,51.71,3553.1,1209.6,1880.8,2259.8,2673.1,0.52938,2.643,3.58,80,50.5,1.8,ON,ON,5.9,0.9,26,26
6/25/2025,12:17:33,Data,35.518,34.85,78.614,7.07,58.142,2253.25,28.79,103.417,0.04,1.468,1.615,5921.86,0.594,95.4,52.4,1352,51.71,3553.1,1237.8,1872.6,2269.8,2673.1,0.52436,3.085,3.28,80,50.6,1.8,ON,ON,5.9,0.9,26,26
6/25/2025,12:17:37,Data,34.114,33.385,76.217,7.07,54.571,2253.25,28.78,102.966,0.04,2.477,1.398,5921.86,0.925,95.4,36,1352,51.44,3553.1,1261.2,1919.7,2318.6,2673.1,0.53861,3.879,2.73,80,51.1,1.8,ON,ON,5.9,0.9,26,26
6/25/2025,12:17:41,Data,31.684,30.651,75.357,7.07,52.899,2248.73,28.77,103.056,0.03,3.007,1.302,5881.16,0.972,95.4,30.2,1350,51.57,3528.7,1255.4,1930.8,2323.1,2673.1,0.53413,4.31,2.53,80,52,1.8,ON,ON,5.9,0.9,26,26
6/25/2025,12:17:44,Data,31.569,30.361,76.76,7.06,53.17,2250.54,28.76,102.875,0.03,3.184,1.272,5777.15,1.262,95.4,28.5,1350,51.44,3466.3,1269.6,1898.8,2305.2,2673.1,0.54501,4.456,2.53,80,53.1,1.8,ON,ON,5.9,0.9,26,26
6/25/2025,12:17:48,Data,32.028,30.88,78.478,7.07,54.165,2249.64,28.76,102.785,0.03,3.283,1.302,5731.92,1.161,95.4,28.4,1350,51.44,3439.2,1370.9,1947.8,2405.2,2673.1,0.56339,4.586,2.55,80,54.3,1.8,ON,ON,5.9,0.9,26,26
6/25/2025,12:17:52,Data,32.548,31.339,80.785,7.07,55.43,2246.93,28.71,103.146,0.03,3.369,1.368,5677.66,1.161,95.4,28.9,1348,51.53,3406.6,1289.7,1967.6,2370.3,2673.1,0.53909,4.737,2.58,80,55.3,1.8,ON,ON,5.9,0.9,26,26
6/25/2025,12:17:55,Data,32.723,31.366,82.007,7.07,56.108,2249.64,28.71,103.056,0.03,3.44,1.43,5627.91,1.452,95.4,29.3,1350,51.53,3376.7,1373.7,1998,2447.4,2673.1,0.55496,4.869,2.61,80,56.3,1.8,ON,ON,5.9,0.9,26,26
6/25/2025,12:17:59,Data,32.831,31.454,83.363,7.06,56.786,2246.93,28.69,103.598,0.03,3.501,1.492,5578.17,1.404,95.4,29.9,1349,51.8,3346.9,2647.1,3575.8,4523.7,2673.1,0.57804,4.993,2.65,80,57.1,1.8,ON,ON,5.9,0.9,26,26
6/25/2025,12:18:03,Data,32.831,31.339,84.359,7.06,57.238,2246.02,28.68,104.139,0.05,3.548,1.538,5555.56,1.431,95.4,30.2,1348,52.07,3333.3,2461.8,2657.7,3772.7,2673.1,0.63128,5.086,2.67,80,57.7,1.8,ON,ON,5.9,0.9,26,26
